step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
3;0;1;3;5;31;31;9.25;0.67;88.00;0.77;28;0;0;109.00;0
3;0;1;3;5;31;31;9.25;0.67;88.00;0.77;28;0;0;110.00;0
3;0;0;3;5;31;31;9.16;0.66;88.00;0.77;28;0;0;111.00;0
3;0;0;3;7;32;32;8.88;0.64;88.00;0.78;29;0;0;112.00;0
3;0;0;3;6;32;32;8.99;0.65;88.00;0.78;29;0;0;113.00;0
3;0;0;3;6;32;32;9.04;0.65;88.00;0.78;29;0;0;114.00;0
3;0;0;3;6;32;32;9.14;0.66;88.00;0.78;29;0;0;115.00;0
3;0;0;3;7;33;33;8.81;0.63;88.00;0.79;30;0;0;116.00;0
3;0;0;3;6;33;33;8.92;0.64;88.00;0.79;30;0;0;117.00;0
3;0;0;3;6;33;33;8.92;0.64;88.00;0.79;30;0;0;118.00;0
3;0;1;3;7;34;34;8.89;0.64;88.00;0.79;31;0;0;119.00;0
3;0;0;3;6;34;34;9.01;0.65;88.00;0.79;31;0;0;120.00;0
3;0;0;3;6;34;34;9.07;0.65;88.00;0.79;31;0;0;121.00;0
3;0;1;3;6;34;34;9.11;0.66;88.00;0.79;31;0;0;122.00;0
3;0;1;3;7;35;35;8.96;0.65;88.00;0.80;32;0;0;123.00;0
3;0;0;3;6;35;35;9.00;0.65;88.00;0.80;32;0;0;124.00;0
3;0;0;3;7;35;35;9.03;0.65;88.00;0.80;32;0;0;125.00;0
3;0;0;3;8;36;36;8.76;0.63;88.00;0.78;33;0;0;126.00;0
3;0;0;3;7;36;36;8.77;0.63;88.00;0.78;33;0;0;127.00;0
3;0;0;3;7;36;36;8.86;0.64;88.00;0.78;33;0;0;128.00;0
3;0;0;3;7;36;36;8.89;0.64;88.00;0.78;33;0;0;129.00;0
3;0;0;3;9;37;37;8.51;0.61;88.00;0.78;34;0;0;130.00;0
3;0;0;3;10;37;37;8.30;0.60;88.00;0.78;34;0;0;131.00;0
3;0;0;3;10;37;37;8.06;0.58;88.00;0.78;34;0;0;132.00;0
3;0;0;3;12;37;37;7.88;0.57;88.00;0.78;34;0;0;133.00;0
3;0;0;3;13;38;38;7.64;0.55;88.00;0.79;35;0;0;134.00;0
3;0;0;3;10;38;38;7.68;0.55;88.00;0.79;35;0;0;135.00;0
3;0;0;3;9;38;38;8.19;0.59;88.00;0.79;35;0;0;136.00;0
3;0;1;3;8;39;39;8.10;0.58;88.00;0.79;36;0;0;137.00;0
3;0;1;3;5;39;39;8.47;0.61;88.00;0.79;36;0;0;138.00;0
3;0;0;3;3;39;39;8.94;0.64;88.00;0.79;36;0;0;139.00;0
3;0;0;3;1;39;39;9.49;0.68;88.00;0.79;36;0;0;140.00;0
3;0;1;3;1;40;40;9.34;0.67;88.00;0.80;37;0;0;141.00;0
3;0;0;3;0;40;40;9.43;0.68;88.00;0.80;37;0;0;142.00;0
3;0;0;3;0;40;40;9.76;0.70;88.00;0.80;37;0;0;143.00;0
3;0;1;3;1;41;41;9.97;0.72;88.00;0.78;38;0;0;144.00;0
4;0;0;4;0;41;41;10.30;0.74;96.75;0.78;37;0;0;145.00;0
5;0;0;5;0;41;41;10.81;0.78;100.80;0.78;36;0;0;146.00;0
6;0;1;6;0;41;41;11.15;0.80;107.17;0.78;35;0;0;147.00;0
6;0;0;6;1;42;42;11.15;0.80;107.17;0.79;36;0;0;148.00;0
7;0;0;7;0;42;42;11.39;0.82;110.57;0.79;35;0;0;149.00;0
8;0;1;8;0;42;42;11.64;0.84;112.25;0.79;34;0;0;150.00;0
9;0;1;9;0;42;42;12.15;0.88;114.89;0.79;33;0;0;151.00;0
10;0;0;10;1;43;43;12.05;0.87;115.00;0.79;33;0;0;152.00;0
11;0;0;11;0;43;43;12.35;0.89;114.82;0.79;32;0;0;153.00;0
11;0;0;11;0;43;43;12.41;0.89;114.82;0.79;32;0;0;154.00;0
13;0;0;13;1;44;44;12.32;0.89;115.08;0.80;31;0;0;155.00;0
14;0;0;14;0;44;44;12.29;0.88;114.14;0.80;30;0;0;156.00;0
15;0;0;15;0;44;44;12.55;0.90;113.87;0.80;29;0;0;157.00;0
17;0;1;17;0;44;44;12.78;0.92;112.41;0.80;27;0;0;158.00;0
17;0;1;17;1;45;45;12.42;0.89;112.41;0.80;28;0;0;159.00;0
18;0;1;18;0;45;45;12.61;0.91;111.22;0.80;27;0;0;160.00;0
20;0;1;20;0;45;45;12.74;0.92;109.70;0.80;25;0;0;161.00;0
20;0;1;20;1;46;46;12.25;0.88;109.70;0.78;26;0;0;162.00;0
21;0;1;21;0;46;46;12.44;0.90;108.43;0.78;25;0;0;163.00;0
22;0;0;22;0;46;46;12.82;0.92;108.00;0.78;24;0;0;164.00;0
23;0;0;23;0;46;46;12.93;0.93;106.87;0.78;23;0;0;165.00;0
23;0;0;23;1;47;47;12.51;0.90;106.87;0.79;24;0;0;166.00;0
23;0;0;23;0;47;47;12.46;0.90;106.87;0.79;24;0;0;167.00;0
23;0;0;23;0;47;47;12.70;0.91;106.87;0.79;24;0;0;168.00;0
23;0;1;23;0;47;47;12.81;0.92;106.87;0.79;24;0;0;169.00;0
23;0;1;23;1;48;48;12.37;0.89;106.87;0.79;25;0;0;170.00;0
23;0;0;23;0;48;48;12.54;0.90;106.87;0.79;25;0;0;171.00;0
24;0;0;24;0;48;48;12.59;0.91;106.42;0.79;24;0;0;172.00;0
24;0;0;24;1;49;49;12.31;0.89;106.42;0.80;25;0;0;173.00;0
25;0;0;25;0;49;49;12.64;0.91;105.64;0.80;24;0;0;174.00;0
25;0;0;25;0;49;49;12.61;0.91;105.64;0.80;24;0;0;175.00;0
25;0;0;25;0;49;49;12.86;0.93;105.64;0.80;24;0;0;176.00;0
25;0;0;25;1;50;50;12.33;0.89;105.64;0.80;25;0;0;177.00;0
25;0;0;25;0;50;50;12.59;0.91;105.64;0.80;25;0;0;178.00;0
27;0;1;27;0;50;50;12.67;0.91;104.26;0.80;23;0;0;179.00;0
27;0;0;27;1;51;51;12.37;0.89;104.26;0.78;24;0;0;180.00;0
28;0;0;28;0;51;51;12.34;0.89;103.39;0.78;23;0;0;181.00;0
